number,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
54054,World,all_energy_types,2019,601.0404899538854,611.5089686476265,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,35584.933497695
54055,World,coal,2019,163.97177585957522,171.84042432282158,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,15773.074340737823
54056,World,natural_gas,2019,146.92339602648022,149.4015884572352,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,7607.936617844
54057,World,petroleum_n_other_liquids,2019,196.07735760722844,192.13455811703943,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,12203.922539102654
54058,World,nuclear,2019,27.65989087153229,27.65989087153229,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,0
54059,World,renewables_n_other,2019,67.75897673906928,70.472506878998,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,0
54060,Afghanistan,all_energy_types,2019,0.12274842133951255,0.05521030952760256,79.4546,38050.9,3.225900605229116,1.544887537531025,9.391163087
54061,Afghanistan,coal,2019,0.04456391145462724,0.04233571594271723,79.4546,38050.9,3.225900605229116,1.544887537531025,4.752619277775776
54062,Afghanistan,natural_gas,2019,0.00503907358488532,0.00503907358488532,79.4546,38050.9,3.225900605229116,1.544887537531025,0.318251809
54063,Afghanistan,petroleum_n_other_liquids,2019,0.0485501723,0,79.4546,38050.9,3.225900605229116,1.544887537531025,4.320292
54065,Afghanistan,renewables_n_other,2019,0.024595264,0.00783552,79.4546,38050.9,3.225900605229116,1.544887537531025,0
54066,Albania,all_energy_types,2019,0.1107482409326914,0.08908229857345225,38.2684,2879.92,38.455318527143604,2.893986707902379,4.031301559
54067,Albania,coal,2019,0.0024943557431554,8.89843001352307e-5,38.2684,2879.92,38.455318527143604,2.893986707902379,0.204335593307699
54068,Albania,natural_gas,2019,0.001473170649536,0.001483566006942,38.2684,2879.92,38.455318527143604,2.893986707902379,0.079780155
54069,Albania,petroleum_n_other_liquids,2019,0.0524847363,0.04142317850637501,38.2684,2879.92,38.455318527143604,2.893986707902379,3.747185810218978
54071,Albania,renewables_n_other,2019,0.05429597824,0.04608656976,38.2684,2879.92,38.455318527143604,2.893986707902379,0
54072,Algeria,all_energy_types,2019,2.643502654452609,6.429790182459667,509.066,43030.4,61.43337395080243,5.1928485784802145,145.987969135
54073,Algeria,coal,2019,4.0543564051793e-4,0,509.066,43030.4,61.43337395080243,5.1928485784802145,0.23264744689886027
54074,Algeria,natural_gas,2019,1.760638243086,3.294896139756,509.066,43030.4,61.43337395080243,5.1928485784802145,89.160554488
54075,Algeria,petroleum_n_other_liquids,2019,0.8727348975,3.1274413947036668,509.066,43030.4,61.43337395080243,5.1928485784802145,56.59476720000001
54077,Algeria,renewables_n_other,2019,0.00972407822609088,0.007452648,509.066,43030.4,61.43337395080243,5.1928485784802145,0
54084,Angola,all_energy_types,2019,0.372427780585,3.5102084014823185,193.826,31849.8,11.693253351198438,1.9214541938903968,17.644576606
54085,Angola,coal,2019,0,0,193.826,31849.8,11.693253351198438,1.9214541938903968,0
54086,Angola,natural_gas,2019,0.031831056285,0.2502325812,193.826,31849.8,11.693253351198438,1.9214541938903968,1.679087606
54087,Angola,petroleum_n_other_liquids,2019,0.2582525323,3.1776316282823185,193.826,31849.8,11.693253351198438,1.9214541938903968,15.965489
54089,Angola,renewables_n_other,2019,0.082344192,0.082344192,193.826,31849.8,11.693253351198438,1.9214541938903968,0
54096,Antigua and Barbuda,all_energy_types,2019,0.0104000061,1.3356e-4,2.12893,97.0566,107.15403280147872,4.885085982160052,0.7348894
54097,Antigua and Barbuda,coal,2019,0,0,2.12893,97.0566,107.15403280147872,4.885085982160052,0
54098,Antigua and Barbuda,natural_gas,2019,0,0,2.12893,97.0566,107.15403280147872,4.885085982160052,0
54099,Antigua and Barbuda,petroleum_n_other_liquids,2019,0.0102664461,0,2.12893,97.0566,107.15403280147872,4.885085982160052,0.7348893999933047
54101,Antigua and Barbuda,renewables_n_other,2019,1.3356e-4,1.3356e-4,2.12893,97.0566,107.15403280147872,4.885085982160052,0
54102,Argentina,all_energy_types,2019,3.545507099370268,3.4933678361664637,833.501,44832.7,79.08305989535022,4.253752664208283,191.358658271
54103,Argentina,coal,2019,0.02191329728555298,4.9272919021225e-4,833.501,44832.7,79.08305989535022,4.253752664208283,3.045990256963641
54104,Argentina,natural_gas,2019,1.82587826894,1.67743431768,833.501,44832.7,79.08305989535022,4.253752664208283,98.150879926
54105,Argentina,petroleum_n_other_liquids,2019,1.258250833,1.3040088457362515,833.501,44832.7,79.08305989535022,4.253752664208283,90.161788088
54106,Argentina,nuclear,2019,0.092626995,0.092626995,833.501,44832.7,79.08305989535022,4.253752664208283,0
54107,Argentina,renewables_n_other,2019,0.346837705144715,0.41880494856,833.501,44832.7,79.08305989535022,4.253752664208283,0
54108,Armenia,all_energy_types,2019,0.15681441220195597,0.04490399116,35.5628,2957.09,53.0299761596556,4.409506906147884,5.976457104
54109,Armenia,coal,2019,1.1220672398596e-4,0,35.5628,2957.09,53.0299761596556,4.409506906147884,0.00441681617956015
54110,Armenia,natural_gas,2019,0.09382289761797,0,35.5628,2957.09,53.0299761596556,4.409506906147884,4.869455288
54111,Armenia,petroleum_n_other_liquids,2019,0.0212440127,0,35.5628,2957.09,53.0299761596556,4.409506906147884,1.1025849999958193
54112,Armenia,nuclear,2019,0.023790025,0.023790025,35.5628,2957.09,53.0299761596556,4.409506906147884,0
